family,family_name,prior_status,prior_evidence,prior_coverage,new_work,new_outputs,remaining_limits
1,Native triple and RDF profiling,Already covered,Konbaung_Power_Relations_Evidence_Package.zip!/Konbaung_Power_Relations_Evidence_Package/02_ARCHIVED_RAW_RESULTS/relation_frequency.csv | Konbaung_Power_Relations_Evidence_Package.zip!/Konbaung_Power_Relations_Evidence_Package/02_ARCHIVED_RAW_RESULTS/relation_royal_subject_and_actor_diversity.csv | Konbaung_Power_Relations_Evidence_Package.zip!/Konbaung_Power_Relations_Evidence_Package/02_ARCHIVED_RAW_RESULTS/actor_relation_profiles.csv,"Canonical counts, frequency and category participation, sovereign roles and relation diversity. RDF export metadata are not an additional historical test.",Data revalidated against intact original source.,data_validation.json,
2,Three-way categorical analysis,Partly covered,Konbaung_Power_Relations_Evidence_Package.zip!/Konbaung_Power_Relations_Evidence_Package/01_ARCHIVED_SCRIPTS/reproduce_derived_tests.py | Konbaung_46_Episode_Evidence_Package.zip!/Konbaung_46_Episode_Evidence/inputs/oriented_revocations_actor_analysis_clean.csv,"Pairwise chi-square/Cramer V, odds ratios, GEE and conditional contrasts existed. No full S-P-O loglinear fit located.","Mutual independence, SP/PO conditional independence, all-pairwise IPF, Pearson residuals and a page/predicate constrained permutation.",results/01_loglinear_models.csv;results/01_conditional_permutation.json;results/01_threeway_cells.csv,"Three-way residuals are descriptive; no asymptotic chi-square p-values for sparse cells. The randomization tests S-O association given P/page, not the isolated three-way interaction."
3,Directed graph topology and centrality,Partly covered,Konbaung_Status_Power_FINAL_Statistical_Reproducibility_UPDATED (2).zip!/Konbaung_Status_Power_FINAL_Statistical_Reproducibility_UPDATED/09_ENTITY_RESOLUTION_ANALYSIS/04_OUTPUTS/named_person_network_centrality.csv | Konbaung_Status_Power_FINAL_Statistical_Reproducibility_UPDATED (2).zip!/Konbaung_Status_Power_FINAL_Statistical_Reproducibility_UPDATED/09_ENTITY_RESOLUTION_ANALYSIS/04_OUTPUTS/named_person_network_edges.csv,"Named-person network already had undirected degree/strength, PageRank and components.","Directed category centralities and connectivity, paths, cuts, walks, named-person graph extensions.",results/02_category_centralities.csv;results/02_named_person_topology.json;results/07_topology_supplement.json,Category graphs retain extraction direction; named-person graph remains the archived conservative undirected graph.
4,Dyads triads and motifs,Not found as network tests,,"Burmese orthographic motifs and relation cliques are present, but are different objects.",Typed chains/transitive/cyclic patterns with page-label nulls; stricter page/category null; unlabelled triads against two degree-preserving MCMC chains.,results/04_labelled_motif_tests.csv;results/09_category_conditioned_chain_null.csv;results/04_degree_preserving_triads.csv,No exhaustive census of every larger graphlet size.
5,Paths reachability and flow,Not found as a dedicated family,,Person career order and adjacent page windows are not graph-path analysis.,"Shortest/weighted paths, reachability, typed page-scoped paths, hitting/commute times, cuts, removal sensitivity.",results/07_all_pairs_paths.csv;results/04_frequent_paths.csv;results/07_random_walk_hitting_times.csv,"Graph walk steps and inverse-frequency distances are mathematical diagnostics, not measured travel, time or resources."
6,Communities positions and roles,Partly covered,Konbaung_Complete_Narrative_Analysis.zip!/Konbaung_Narrative_Atlas_Complete/results/community_seed_resolution_audit.csv | Konbaung_Complete_Narrative_Analysis.zip!/Konbaung_Narrative_Atlas_Complete/results/community_stability_summary.csv | Konbaung_Status_Power_FINAL_Statistical_Reproducibility_UPDATED (2).zip!/Konbaung_Status_Power_FINAL_Statistical_Reproducibility_UPDATED/04_EMBEDDING_ANALYSIS/06_OUTPUTS/tables/relation_category_centered_k8.csv,"Page relation communities, semantic clusters, Louvain, clique and seed/resolution checks existed.","Predicate-specific directional role profiles, category communities, an explicit Bernoulli SBM and seed checks.",results/02_profile_roles.csv;results/05_sbm_memberships.csv;results/05_sbm_selection.csv,Leiden/Infomap and exact regular or automorphic equivalence were not run; profile similarity is not exact regular equivalence.
7,Multiplex relation layers,Not found as actual S-to-O layers,,Existing relation co-occurrence graphs connect predicates to predicates; they are not 81 endpoint-adjacency layers.,"All 81 layers, overlap, centrality, participation, 3240 descriptive layer comparisons, 15 prespecified QAP comparisons and sensitivities.",results/02_layer_statistics.csv;results/02_all_layer_pairs.csv;results/02_layer_qap.csv;results/06_layer_qap_sensitivity.csv,No supra-adjacency community/centrality fit or multilayer SBM.
8,Tensor and multiway decomposition,Not found,,Embedding clustering was not S-P-O tensor decomposition.,"Nonnegative CP rank 3/5/7 selection, full rank-7 descriptive fit, Tucker 8/8/8 and seed/register/status sensitivities.",results/03_tensor_model_selection.csv;results/03_static_cp_loadings.csv;results/03_tucker_fit.json;results/06_tensor_component_stability.csv,"RESCAL, DEDICOM and coupled tensor/matrix variants remain unrun alternatives."
9,Statistical relational learning,Not found as a fitted triple model,Konbaung_Status_Power_FINAL_Statistical_Reproducibility_UPDATED (2).zip!/Konbaung_Status_Power_FINAL_Statistical_Reproducibility_UPDATED/04_EMBEDDING_ANALYSIS/06_OUTPUTS/tables/title_embedding_classifier_summary.csv,"Title-category embedding classifiers existed, but not joint S-P-O completion models.","Held-out category-fact DistMult and ComplEx, plus frequency baseline; page-held-out CP selection.",results/08_link_prediction.csv;results/08_scope.json,Scores do not give calibrated probabilities that an unrecorded historical event occurred.
10,Formal statistical network models,Not found,,GEE on observations is not an ERGM.,"Regularized p1 dyad-independent exponential-family likelihood, held-out dyad comparison, triad adequacy simulations and Bernoulli SBM.",results/05_p1_models.csv;results/05_p1_triad_adequacy.csv;results/05_sbm_selection.csv,"Category adjacency only. No historical-person causal ERGM, p2, latent-space, growth or dynamic process fit."
