entity_id,label,profile_role,selected_k
E01,SovereignAndReigningMonarch,1,3
E02,RoyalHeirPrinceAndDynasticClaimant,1,3
E03,QueenConsortPrincessAndRoyalWoman,1,3
E04,RoyalLineageAncestorAndDynasticCollective,2,3
E05,CourtMinisterAndCentralCivilOfficial,1,3
E06,PalaceRetainerCourtServantAndHouseholdPersonnel,1,3
E07,MilitaryCommanderAndOfficer,1,3
E08,ArmedForceMilitaryUnitGuardAndSecurityPersonnel,1,3
E09,ProvincialGovernorAndRegionalAdministrator,1,3
E10,LocalHeadmanRevenueAgentAndCommunityIntermediary,1,3
E11,CrownServiceGroupOccupationalCorpsAndDependentCommunity,1,3
E12,CommonerTaxpayerProducerAndCivilianPopulation,1,3
E13,MerchantArtisanTechnicalExpertAndInterpreter,1,3
E14,RebelBanditDefectorAndRivalPoliticalActor,1,3
E15,CaptivePrisonerHostageExileAndForciblyDisplacedPerson,0,3
E16,TributaryFrontierAndSubordinateRuler,1,3
E17,ForeignSovereignStateAndNoncolonialExternalPower,1,3
E18,ColonialAuthorityArmyCompanyAndImperialAgent,1,3
E19,EnvoyDiplomatConsulAndPoliticalBroker,1,3
E20,BuddhistMonkSayadawAndEcclesiasticalAuthority,1,3
E21,SanghaMonasticOrderAndReligiousInstitution,2,3
E22,BrahminAstrologerDivinerAndRitualSpecialist,1,3
E23,RoyalStateAgencyCouncilMinistryAndAdministrativeInstitution,1,3
E24,TerritorialPolityProvinceTownAndJurisdiction,2,3
E25,CapitalPalaceAndRoyalCourtSpace,2,3
E26,FortCampRoutePortAndStrategicFrontierSpace,2,3
E27,PagodaMonasteryShrineAndSacredSite,2,3
E28,ProductiveLandWaterForestAndEnvironmentalZone,2,3
E29,TransportCommunicationAndPublicInfrastructure,2,3
E30,OfficeTitleRankCourtPlaceStatusGradeAndSumptuaryPosition,2,3
E31,RoyalRegaliaWhiteElephantRelicAndLegitimatingSacra,2,3
E32,AdministrativeTextOrderPetitionRegisterTreatyAndCommunication,2,3
E33,GenealogyProphecyOmenAndLegitimatingClaim,2,3
E34,LawOathCustomObligationRightExemptionAndNormativeRule,2,3
E35,RitualCeremonyFestivalAndCourtPerformance,2,3
E36,AppanageTaxBaseRevenueAssignmentAndFiscalRight,2,3
E37,TributeGiftWealthAndRedistributiveResource,2,3
E38,MilitaryMaterielAnimalVesselTransportAndProvision,2,3
E39,LaborServicePopulationAndProductiveCapacity,2,3
E40,PolicyStrategyAdministrativeProgramAndCommandObjective,2,3
E41,PoliticalEventConflictConditionAndInstitutionalOutcome,2,3
E42,DoctrineKnowledgeVirtueAndMoralReligiousPrinciple,2,3
E43,QuantityDateDurationAndScaleIndicator,2,3
E44,BuddhaDeityNatAndSacredSupernaturalAgent,2,3
E45,NaturalPhenomenonDiseaseAndEnvironmentalHazard,2,3
E46,EthnicCollectiveAndUnspecifiedSocialGroup,1,3
E47,HereditaryOfficeholdingLineageAndBureaucraticGentry,1,3
E48,PatronClientRetainerAndPersonalFollowing,1,3
E49,DebtBondsmanSlaveAndPrivatelyAttachedDependent,0,3
E50,PoliticalFactionPatronageNetworkAffinalCoalitionAndInfluenceCircle,1,3
E51,FloatingPopulationRefugeeMigrantAndUnattachedManpower,0,3
E52,PrincelyHouseholdSubordinateCourtAndReplicaCenter,0,3
